,cell_id,Cell_Depth,Cell_Layer,Cell_TargetedBrainArea,cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high,wp_amplitude_pre_FW,wp_amplitude_post_FW,vm_amplitude_pre_FW,vm_amplitude_post_FW,ap_fr_pre_FW,ap_fr_post_FW,wp_amplitude_pre_AT,wp_amplitude_post_AT,vm_amplitude_pre_AT,vm_amplitude_post_AT,ap_fr_pre_AT,ap_fr_post_AT
55,SC923_1,320.0,L2/3,C2,EXC,3.1333333333333333,-0.04101182304416557,0.632313829787234,-0.050299613295492325,0.003522016218155274,0.0004409471899284927,3.9781868512147384e-05,0.7509783955941538,3.7682487859128795,-57.54204404466501,-56.81429651283013,0.7694231250120223,1.1541346875180334,11.480473517281666,18.652050444103416,-52.2988634103612,-49.08218858925738,5.7200057200057195,10.57671692989352
56,SC924_1,300.0,L2/3,C2,EXC,0.54,-0.040316983608788735,0.6092592592592593,-0.06842977384567958,0.00709276949672708,0.0009543532489144442,9.193457669241401e-05,2.6691700637549642,0.6409580066571685,-60.42394869550721,-62.62432509168959,1.6670834375260482,0.0,5.029169248831672,9.677030100234118,-60.181709834834834,-52.105486024262134,0.0,9.504752376188096
57,SC925_1,170.0,L2/3,C2,EXC,4.296551724137931,-0.04789063326642356,0.47134831460674154,-0.057838797637590374,0.0032671591092363734,0.00038633829700940076,5.2772694743796816e-05,-0.8008717105263181,3.8478453947368387,-62.668912052231825,-61.90709982183046,0.0,0.0,5.759021739130432,11.064583333333333,-61.069168829155245,-56.77363049731387,0.0,0.43500010875002715
58,SC926_1,330.0,L2/3,C2,EXC,30.384615384615383,-0.043171322131557874,0.26662447257383964,-0.056545463178566596,0.006885135540177149,0.0008925935137349856,8.90506514944637e-05,-1.8953487166191356,2.494078947368418,-62.16931947830708,-64.0764462600025,0.0,0.0,7.275861937552564,12.926474344854288,-60.31708766693523,-59.90843844178186,0.4882931712200005,0.0
59,TK112_1,360.0,L4,C2,PV,7.22,-0.043484164019331056,0.7049861495844877,-0.049940975894675305,0.003252999403803329,0.0003987257402597891,3.694890749166929e-05,196.60593208020046,203.6539852130326,-52.46655644551109,-52.25004664650984,4.763095535788709,3.810476428630967,193.53764031172648,199.9187173605815,-50.44326299326649,-47.84768045514071,34.45793694240046,78.61112095543493
60,TK112_2,340.0,L2/3,C2,PV,3.4166666666666665,-0.039106793673896856,0.5219512195121951,-0.04896224178727741,0.0033804448124181504,0.00038612708395386344,6.929210153283073e-05,202.85224875346262,212.33543240997227,-55.9942998819735,-56.38169177727192,13.161185033100383,10.792171727142312,193.53764031172645,199.9187173605815,-50.44326299326649,-47.847680455140726,34.45793694240046,78.61112095543491
61,TK140_1,560.0,L5,C2,EXC,16.486486486486488,-0.04095919440695753,0.3110655737704918,-0.05709954928752552,0.00850303510379736,0.001172511501518069,9.554520332967328e-05,104.91670280701756,109.6234407017544,-54.82067287298446,-54.46256816264243,1.000250062515629,2.000500125031258,118.54199028718637,124.31870464001408,-58.4777144070452,-55.73732006990284,1.1531754519362096,3.0919623747213105
62,TK140_2,665.0,L5,C2,EXC,0.26666666666666666,-0.040715854702491776,0.59375,-0.06491651751408513,0.005432571103387226,0.0006269795307475308,9.525088262168861e-05,-107.77233759398494,-104.36628120300752,-57.165883353802,-53.725793869525674,3.572321651841531,0.7144643303683063,118.54199028718638,124.31870464001409,-58.47771440704521,-55.737320069902836,1.1531754519362098,3.091962374721311
63,TK146_1,650.0,L5,C2,EXC,1.1515151515151516,-0.03974315726004981,0.5960526315789473,-0.06287801387784858,0.00584064045576893,0.0007782990174956584,7.084694426248524e-05,-159.83100175438594,-148.2419543859649,-55.7694365853351,-54.24803597219111,0.0,5.001250312578145,118.54199028718637,124.31870464001409,-58.477714407045205,-55.73732006990284,1.1531754519362098,3.091962374721311
64,TK150_1,551.0,L5,C2,VIP,47.93333333333333,-0.03786374030928596,0.3629694019471488,-0.051129626806381376,0.007933245847151098,0.0010527981477198827,8.490126444233938e-05,-158.4861236842105,-154.08332894736841,-53.063801162330726,-53.27489143078179,31.257814453613406,21.255313828457112,198.31097395670795,201.81077480031124,-45.56062888633394,-44.43994667473334,30.510010902167767,43.99788501271291
